trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
261,False,"{'a': 1.0, 'e': 0.00010445323221423147}",25,17,11.992107240906162,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 1.0, 'e': 9.610241549947399e-05}",25,8,26.647665671974902,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 1.0, 'e': 8.841917001893863e-05}",20,9,23.14075913063024,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 1.0, 'e': 8.135013863555343e-05}",35,22,22.977544732765306,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 1.0, 'e': 7.484622751061127e-05}",20,14,8.143812259827794,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 1.0, 'e': 6.886226567476128e-05}",20,10,18.124922982588977,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 1.0, 'e': 6.335669174983575e-05}",25,5,34.81224542482307,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 1.0, 'e': 5.829126566113867e-05}",20,13,4.980051594453117,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 1.0, 'e': 5.3630803350947884e-05}",25,14,21.72937927147377,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 1.0, 'e': 4.934293266167815e-05}",25,20,9.134493396464247,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 1.0, 'e': 4.539786870243442e-05}",25,14,19.333241976701643,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 1.0, 'e': 4.1768207146538445e-05}",30,5,38.57285766566466,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 1.0, 'e': 3.842873403090924e-05}",20,13,11.740386073863238,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 1.0, 'e': 3.5356250741744335e-05}",20,14,13.582591991860738,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 1.0, 'e': 3.2529412975540185e-05}",20,16,7.492545997294453,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 1.0, 'e': 2.9928582560813898e-05}",35,18,33.36709081333851,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 1.0, 'e': 2.753569111458344e-05}",35,23,20.702108848690145,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 1.0, 'e': 2.533411458933582e-05}",30,14,29.97136032419642,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 1.0, 'e': 2.3308557841404808e-05}",35,27,16.02968695310015,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 1.0, 'e': 2.1444948420913924e-05}",30,19,24.507135102907313,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 1.0, 'e': 1.9730338847171173e-05}",20,16,6.297617883084047,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 1.0, 'e': 1.815281669207417e-05}",30,16,25.94635496185944,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 1.0, 'e': 1.670142184809522e-05}",30,16,22.6915878153079,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 1.0, 'e': 1.5366070407127683e-05}",20,4,25.13217600354724,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 1.0, 'e': 1.4137484622236974e-05}",20,14,10.564875637891499,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 1.0, 'e': 1.3007128466476063e-05}",20,11,15.305465418799288,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 1.0, 'e': 1.1967148341692714e-05}",25,11,26.909100370127227,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
