trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
124,False,"{'a': 1.0, 'e': 0.549833997312478}",25,0,-76.15475305772603,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
125,False,"{'a': 1.0, 'e': 0.52497918747894}",20,4,-8.4891059765111,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 1.0, 'e': 0.5}",20,0,-29.11195158897502,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
127,False,"{'a': 1.0, 'e': 0.47502081252106}",20,0,-136.59479496446866,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
128,False,"{'a': 1.0, 'e': 0.45016600268752205}",25,0,-40.65228032001537,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
129,False,"{'a': 1.0, 'e': 0.4255574831883409}",25,3,-1.1032809552715506,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
130,False,"{'a': 1.0, 'e': 0.40131233988754794}",20,0,-0.056812610379602724,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
131,False,"{'a': 1.0, 'e': 0.3775406687981453}",25,0,-89.67463605859302,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
132,False,"{'a': 1.0, 'e': 0.35434369377420444}",25,5,-95.54207157356852,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",1
133,False,"{'a': 1.0, 'e': 0.3318122278318338}",20,8,-0.7063940558757063,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 1.0, 'e': 0.3100255188723874}",30,17,0.9932254205152471,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 1.0, 'e': 0.2890504973749959}",25,16,15.11112711950286,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 1.0, 'e': 0.268941421369995}",30,0,-2.300394029364055,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
137,False,"{'a': 1.0, 'e': 0.24973989440488223}",25,4,26.011474695462862,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 1.0, 'e': 0.23147521650098218}",20,0,20.61501288846701,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 1.0, 'e': 0.21416501695744122}",25,16,19.48226136753385,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 1.0, 'e': 0.19781611144141809}",30,12,-38.133589791319764,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
141,False,"{'a': 1.0, 'e': 0.18242552380635615}",25,7,-10.169098880529143,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
142,False,"{'a': 1.0, 'e': 0.1679816148660757}",30,3,22.37911160809395,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 1.0, 'e': 0.15446526508353486}",20,10,22.05275320767191,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 1.0, 'e': 0.14185106490048793}",25,18,11.560548594224372,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 1.0, 'e': 0.13010847436299797}",20,9,19.607095406877377,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 1.0, 'e': 0.11920292202211766}",30,13,7.501424127859053,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
147,False,"{'a': 1.0, 'e': 0.10909682119561302}",30,17,26.69491420805154,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 1.0, 'e': 0.09975048911968522}",20,0,35.316974703387125,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 1.0, 'e': 0.0911229610148562}",20,7,21.147839787042454,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 1.0, 'e': 0.08317269649392242}",20,9,21.29966054222646,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 1.0, 'e': 0.07585818002124359}",30,14,26.48726528633608,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 1.0, 'e': 0.06913842034334684}",20,6,16.433793531036418,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 1.0, 'e': 0.06297335605699651}",20,9,5.866531359209023,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 1.0, 'e': 0.05732417589886876}",25,8,16.375796669836138,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 1.0, 'e': 0.052153563078417745}",20,13,10.58969727543266,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 1.0, 'e': 0.04742587317756679}",25,13,20.595346179863732,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 1.0, 'e': 0.04310725494108612}",20,9,-26.009837504464645,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 1.0, 'e': 0.039165722796764356}",20,7,23.967702173619113,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 1.0, 'e': 0.03557118927263617}",25,14,18.63464657772028,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 1.0, 'e': 0.0322954646984505}",20,6,19.194591664110845,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 1.0, 'e': 0.02931223075135631}",25,8,27.76212326209275,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 1.0, 'e': 0.026596993576865846}",30,16,26.593276727223966,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 1.0, 'e': 0.024127021417669193}",25,15,18.820555035376685,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 1.0, 'e': 0.021881270936130463}",20,7,17.697970202991634,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 1.0, 'e': 0.019840305734077496}",20,4,29.514447715422314,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 1.0, 'e': 0.017986209962091545}",20,0,-7.151141177331847,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
167,False,"{'a': 1.0, 'e': 0.016302499371440935}",20,9,22.0225357934872,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 1.0, 'e': 0.014774031693273047}",20,13,15.31971013058937,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 1.0, 'e': 0.013386917827664772}",20,0,19.405856324569278,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
170,False,"{'a': 1.0, 'e': 0.012128434984274229}",25,10,-21.14048237504601,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
171,False,"{'a': 1.0, 'e': 0.010986942630593173}",20,4,25.395064203539402,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 1.0, 'e': 0.00995180186690431}",20,16,6.3293834859350335,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 1.0, 'e': 0.009013298652847841}",20,3,28.59118404351777,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 1.0, 'e': 0.008162571153159905}",20,15,11.109283369438417,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 1.0, 'e': 0.007391541344281985}",20,11,17.31725697946292,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 1.0, 'e': 0.006692850924284863}",25,10,12.452680235580699,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 1.0, 'e': 0.006059801491584123}",25,19,9.676452463024752,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 1.0, 'e': 0.0054862988994504105}",30,10,29.659196317981355,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 1.0, 'e': 0.004966801650056967}",20,2,28.913677462583124,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 1.0, 'e': 0.004496273160941183}",25,0,27.02274254148341,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 1.0, 'e': 0.004070137715896132}",20,8,20.360870600888276,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
