trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 1.0, 'e': 0.997268039236989}",25,0,-165.9581740872284,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
68,False,"{'a': 1.0, 'e': 0.9969815836752917}",25,0,-102.09996851749747,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
69,False,"{'a': 1.0, 'e': 0.9966651926925867}",25,0,-40.578544704072456,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
70,False,"{'a': 1.0, 'e': 0.9963157601005641}",30,0,-132.13586874997318,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
71,False,"{'a': 1.0, 'e': 0.995929862284104}",20,0,-93.8850521750624,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
72,False,"{'a': 1.0, 'e': 0.9955037268390589}",20,0,-103.70673446208556,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
73,False,"{'a': 1.0, 'e': 0.995033198349943}",25,0,-62.91172546261758,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
74,False,"{'a': 1.0, 'e': 0.9945137011005495}",20,0,-95.68534396874686,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
75,False,"{'a': 1.0, 'e': 0.9939401985084158}",25,0,-165.62051245203074,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
76,False,"{'a': 1.0, 'e': 0.9933071490757153}",20,0,-153.07206288255924,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
77,False,"{'a': 1.0, 'e': 0.9926084586557181}",25,0,-177.01190547280927,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
78,False,"{'a': 1.0, 'e': 0.9918374288468401}",25,0,-45.98744540195937,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
79,False,"{'a': 1.0, 'e': 0.990986701347152}",20,0,-119.72839292018412,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
80,False,"{'a': 1.0, 'e': 0.9900481981330957}",20,0,-158.66929508036657,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
81,False,"{'a': 1.0, 'e': 0.9890130573694068}",20,0,-125.56909128556684,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
82,False,"{'a': 1.0, 'e': 0.9878715650157257}",20,0,-114.65749286002469,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
83,False,"{'a': 1.0, 'e': 0.9866130821723351}",20,0,-32.631812421781355,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
84,False,"{'a': 1.0, 'e': 0.9852259683067269}",30,0,-117.01781599165423,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
